"Var1","Freq","yr","simpleDate","mth"
"2015-01-03",1,2015,"01-03",1
"2015-01-04",3,2015,"01-04",1
"2015-01-05",1,2015,"01-05",1
"2015-01-06",9,2015,"01-06",1
"2015-01-07",2,2015,"01-07",1
"2015-01-09",2,2015,"01-09",1
"2015-01-10",2,2015,"01-10",1
"2015-01-11",1,2015,"01-11",1
"2015-01-13",11,2015,"01-13",1
"2015-01-14",1,2015,"01-14",1
"2015-01-15",1,2015,"01-15",1
"2015-01-16",4,2015,"01-16",1
"2015-01-18",1,2015,"01-18",1
"2015-01-19",4,2015,"01-19",1
"2015-01-20",17,2015,"01-20",1
"2015-01-23",1,2015,"01-23",1
"2015-01-26",9,2015,"01-26",1
"2015-01-27",3,2015,"01-27",1
"2015-01-28",1,2015,"01-28",1
"2015-01-30",2,2015,"01-30",1
"2015-01-31",1,2015,"01-31",1
"2015-02-01",1,2015,"02-01",2
"2015-02-02",3,2015,"02-02",2
"2015-02-03",2,2015,"02-03",2
"2015-02-04",3,2015,"02-04",2
"2015-02-06",4,2015,"02-06",2
"2015-02-07",2,2015,"02-07",2
"2015-02-08",1,2015,"02-08",2
"2015-02-11",9,2015,"02-11",2
"2015-02-12",1,2015,"02-12",2
"2015-02-14",4,2015,"02-14",2
"2015-02-15",1,2015,"02-15",2
"2015-02-16",2,2015,"02-16",2
"2015-02-17",1,2015,"02-17",2
"2015-02-18",2,2015,"02-18",2
"2015-02-20",3,2015,"02-20",2
"2015-02-21",1,2015,"02-21",2
"2015-02-22",1,2015,"02-22",2
"2015-02-23",2,2015,"02-23",2
"2015-02-24",2,2015,"02-24",2
"2015-02-27",1,2015,"02-27",2
"2015-03-01",10,2015,"03-01",3
"2015-03-02",2,2015,"03-02",3
"2015-03-03",9,2015,"03-03",3
"2015-03-04",2,2015,"03-04",3
"2015-03-05",5,2015,"03-05",3
"2015-03-07",8,2015,"03-07",3
"2015-03-10",3,2015,"03-10",3
"2015-03-11",8,2015,"03-11",3
"2015-03-14",11,2015,"03-14",3
"2015-03-15",5,2015,"03-15",3
"2015-03-16",1,2015,"03-16",3
"2015-03-17",19,2015,"03-17",3
"2015-03-18",11,2015,"03-18",3
"2015-03-19",7,2015,"03-19",3
"2015-03-21",11,2015,"03-21",3
"2015-03-22",5,2015,"03-22",3
"2015-03-23",3,2015,"03-23",3
"2015-03-24",2,2015,"03-24",3
"2015-03-25",5,2015,"03-25",3
"2015-03-26",5,2015,"03-26",3
"2015-03-28",3,2015,"03-28",3
