"Season","TeamID","Score","TournamentWin","Seed","TeamName","FGM","FGA","FGM3","FGA3","FTM","FTA","OR","DR","Ast","TO","Stl","Blk","PF","RegularSeasonWin"
2016,1455,65,TRUE,"11","Wichita St",25.0645161290323,57.9032258064516,7.32258064516129,22.2903225806452,15.6774193548387,21.9032258064516,11.6129032258065,25.8709677419355,14.3225806451613,9.83870967741935,7.25806451612903,3.58064516129032,20.2258064516129,0.741935483870968
2012,1424,64,FALSE,"6","UNLV",26.71875,58,8.3125,22.3125,14.1875,20.75,11.3125,26.25,17.5625,13.71875,8.125,4.875,17.375,0.75
2018,1120,62,TRUE,"4","Auburn",27.125,61.78125,9.75,26.625,19.375,24.65625,12.125,26.03125,14.4375,12.25,7.4375,5.40625,19.875,0.78125
2021,1228,78,TRUE,"1","Illinois",29.3448275862069,58.8620689655172,6.79310344827586,18.0689655172414,15.9310344827586,23.0689655172414,9.44827586206897,28.2758620689655,16.3103448275862,12.7586206896552,5.72413793103448,2.82758620689655,7,0.793103448275862
2005,1328,84,TRUE,"3","Oklahoma",27.5161290322581,57,6.74193548387097,17.5483870967742,13.6451612903226,19.9354838709677,12.741935483871,22.4516129032258,15.8709677419355,13.8064516129032,8.83870967741935,4.16129032258065,18.258064516129,0.774193548387097
2014,1157,59,FALSE,"16","Coastal Car",24.6666666666667,57.4666666666667,5.73333333333333,17.9,15.4666666666667,22.3333333333333,12.7,26.1333333333333,9.93333333333333,14.1,6.2,2.8,19.9333333333333,0.6
2018,1138,89,TRUE,"13","Buffalo",30.6969696969697,64.7878787878788,9.63636363636364,25.9090909090909,13.6666666666667,19.6363636363636,12.030303030303,26.8181818181818,16.7575757575758,12.3939393939394,6.21212121212121,4.33333333333333,21.1515151515152,0.757575757575758
2009,1443,76,TRUE,"12","WKU",25.3870967741935,56.3870967741936,7.80645161290323,21.0967741935484,13.5161290322581,19.1935483870968,12.741935483871,24,13.4838709677419,13.3870967741935,5.64516129032258,3.2258064516129,17.5161290322581,0.741935483870968
2004,1393,80,TRUE,"5","Syracuse",27.6785714285714,59.75,4.32142857142857,13.8571428571429,13.25,20.8214285714286,13.9285714285714,24.7142857142857,15.3571428571429,12.7857142857143,7.89285714285714,6.85714285714286,17.6428571428571,0.75
2014,1455,64,TRUE,"1","Wichita St",24.7272727272727,54.0909090909091,6.84848484848485,19.7272727272727,18.6363636363636,25.5757575757576,11.8787878787879,26.7272727272727,13.3636363636364,10.4545454545455,6.84848484848485,5.12121212121212,16.9090909090909,1
2021,1331,75,TRUE,"15","Oral Roberts",27.2608695652174,61,10.8695652173913,28,14,16.9565217391304,6.56521739130435,23.6521739130435,11.6086956521739,11.1739130434783,6.21739130434783,4.08695652173913,8,0.565217391304348
2012,1301,79,TRUE,"11","NC State",26.6764705882353,57.6470588235294,5.35294117647059,15.0588235294118,14.6764705882353,20.7352941176471,12.1470588235294,25.0294117647059,15.9705882352941,12.8235294117647,6.91176470588235,4.05882352941176,17.0294117647059,0.647058823529412
2018,1397,73,TRUE,"3","Tennessee",25.2424242424242,57.4848484848485,7.84848484848485,20.4545454545455,15.8787878787879,21,11.6666666666667,24.4848484848485,15.8181818181818,12.2121212121212,6.3030303030303,4.48484848484848,19.5757575757576,0.757575757575758
2021,1382,61,FALSE,"9","St Bonaventure",26.05,58.05,6.55,18.5,11.85,16.15,9.9,24.4,14.8,10.4,6,3.9,5.25,0.8
