"diamondType","diamondShape","diamondCarat","diamondColor","diamondClarity","diamondPolish","diamondSymmetry","diamondFluorescence","diamondTable","diamondDepth","diamondX","diamondY","diamondZ","diamondCertification","diamondPrice"
"Natural","Heart","0.5","I","VS2","Excellent","Very Good","Faint",0.63,0.587,4.82,5.55,3.26,"GIA","944.00"
"Natural","Heart","0.5","D","VS1","Excellent","Very Good","None",0.61,0.576,4.88,5.51,3.17,"GIA","1716.00"
"Natural","Heart","0.5","G","VS2","Excellent","Excellent","None",0.62,0.564,4.99,5.49,3.1,"GIA","1481.00"
"Natural","Pear","0.5","H","VS1","Excellent","Excellent","None",0.62,0.594,7,4.42,2.62,"GIA","1403.00"
"Natural","Pear","0.5","G","VVS1","Excellent","Excellent","Faint",0.6,0.601,7.11,4.38,2.63,"GIA","1461.00"
"Natural","Pear","0.5","H","FL/IF","Excellent","Excellent","None",0.61,0.622,7.09,4.36,2.71,"GIA","1460.00"
"Natural","Pear","0.5","F","SI1","Excellent","Very Good","Faint",0.63,0.631,6.65,4.37,2.76,"GIA","1035.00"
"Natural","Pear","0.5","J","VS2","Excellent","Very Good","Faint",0.57,0.57,7.56,4.44,2.53,"GIA","891.00"
"Natural","Round","0.5","D","FL/IF","Excellent","Very Good","None",0.55,0.627,5.03,5.06,3.16,"GIA","2896.00"
"Natural","Emerald","0.5","E","VS1","Excellent","Very Good","None",0.64,0.647,5.63,3.74,2.42,"GIA","1597.00"
"Natural","Emerald","0.5","G","VS2","Excellent","Very Good","None",0.72,0.633,5.4,3.97,2.51,"GIA","1204.00"
"Natural","Emerald","0.5","D","VVS2","Excellent","Very Good","None",0.63,0.611,6.04,3.74,2.29,"GIA","1795.00"
"Natural","Emerald","0.5","G","SI1","Excellent","Very Good","None",0.7,0.653,5.29,3.82,2.49,"GIA","1156.00"
"Natural","Emerald","0.5","F","VS1","Excellent","Very Good","None",0.65,0.679,5.64,3.6,2.44,"GIA","1503.00"
"Natural","Emerald","0.5","I","VVS1","Excellent","Very Good","None",0.67,0.639,5.67,3.79,2.42,"GIA","1164.00"
"Natural","Round","0.5","D","FL/IF","Excellent","Excellent","None",0.57,0.627,5.02,5.06,3.16,"GIA","3500.00"
"Natural","Round","0.5","F","VVS2","Excellent","Excellent","None",0.61,0.601,5.12,5.15,3.08,"GIA","2030.00"
"Natural","Round","0.5","D","VVS2","Excellent","Excellent","Medium",0.58,0.608,5.11,5.14,3.12,"GIA","1581.00"
"Natural","Round","0.5","D","VVS2","Excellent","Very Good","None",0.55,0.645,4.93,4.99,3.2,"GIA","1629.00"
"Natural","Round","0.5","D","FL/IF","Excellent","Excellent","None",0.6,0.618,5.08,5.11,3.15,"GIA","3247.00"
"Natural","Emerald","0.5","F","VS1","Excellent","Very Good","None",0.64,0.654,5.6,3.7,2.42,"GIA","1460.00"
"Natural","Emerald","0.5","D","SI1","Very Good","Very Good","None",0.63,0.65,5.59,3.77,2.45,"GIA","1135.00"
"Natural","Emerald","0.5","F","VS1","Excellent","Very Good","None",0.65,0.686,5.25,3.73,2.56,"GIA","1412.00"
"Natural","Emerald","0.5","H","VS1","Excellent","Very Good","None",0.65,0.689,5.27,3.79,2.61,"GIA","1135.00"
"Natural","Emerald","0.5","E","VVS1","Excellent","Very Good","None",0.63,0.64,5.62,3.79,2.43,"GIA","1571.00"
"Natural","Emerald","0.5","E","VS1","Excellent","Very Good","None",0.67,0.676,5.43,3.71,2.51,"GIA","1436.00"
"Natural","Emerald","0.5","E","VS2","Excellent","Very Good","None",0.63,0.673,5.5,3.72,2.5,"GIA","1340.00"
"Natural","Emerald","0.5","E","VS2","Excellent","Very Good","Faint",0.62,0.685,5.28,3.76,2.57,"GIA","1202.00"
"Natural","Emerald","0.5","F","SI1","Excellent","Excellent","None",0.67,0.688,5.36,3.73,2.57,"GIA","1126.00"
"Natural","Emerald","0.5","G","VS1","Excellent","Very Good","None",0.64,0.698,5.11,3.72,2.6,"GIA","1270.00"
"Natural","Emerald","0.5","I","VVS2","Excellent","Very Good","None",0.62,0.652,5.45,3.75,2.44,"GIA","1070.00"
"Natural","Emerald","0.5","J","VVS2","Excellent","Very Good","None",0.64,0.676,5.48,3.77,2.55,"GIA","924.00"
"Natural","Marquise","0.5","D","VS2","Excellent","Excellent","None",0.63,0.571,8.74,4.08,2.33,"GIA","1733.00"
"Natural","Marquise","0.5","D","VVS1","Excellent","Very Good","Strong",0.61,0.59,8.24,4.21,2.48,"GIA","1367.00"
"Natural","Marquise","0.5","I","VVS2","Excellent","Excellent","None",0.6,0.572,8.17,4.3,2.46,"GIA","1466.00"
"Natural","Marquise","0.5","D","SI1","Excellent","Very Good","None",0.6,0.6,8.53,4.19,2.51,"GIA","1424.00"
"Natural","Princess","0.5","F","VS2","Excellent","Excellent","None",0.72,0.735,4.37,4.29,3.15,"GIA","1359.00"
"Natural","Marquise","0.5","G","VS1","Very Good","Very Good","None",0.61,0.579,8.18,4.28,2.48,"GIA","1537.00"
"Natural","Marquise","0.5","D","VVS1","Excellent","Excellent","None",0.59,0.623,7.71,4.17,2.6,"GIA","2109.00"
"Natural","Marquise","0.5","G","VVS1","Excellent","Excellent","None",0.6,0.579,8.92,4.05,2.35,"GIA","1832.00"
"Natural","Oval","0.5","H","VVS2","Excellent","Very Good","None",0.56,0.605,6.6,4.34,2.62,"GIA","1309.00"
"Natural","Oval","0.5","E","VS2","Excellent","Excellent","None",0.59,0.593,6.75,4.4,2.61,"GIA","1594.00"
